model,variant,color,fuel_type,transmission,price,manufacture_date,sale_date,state,mileage,engine_capacity,battery_capacity,charging_time,seating_capacity,ground_clearance,boot_space
Tesla Cybertruck,Performance,Deep Blue Metallic,Electric,Automatic,72755.2,2024-04-13,2024-04-20,Virginia,291.2,0,83.3,11.3,5,146.8,455
Tesla Roadster,Standard Range,Deep Blue Metallic,Electric,Automatic,215252.83,2024-09-29,2024-12-26,Nevada,482.3,0,69.2,3.8,5,144.9,488
Tesla Roadster,Performance,Pearl White,Electric,Automatic,248352.52,2024-06-16,2024-08-09,Connecticut,556.8,0,80.2,11.2,5,159.4,545
Tesla Model Y,Plaid,Stealth Grey,Electric,Automatic,58742.43,2024-04-02,2024-04-26,Oregon,288.3,0,93.1,9.3,7,148.6,894
Tesla Cybertruck,Long Range,Red Multi-Coat,Electric,Automatic,59715.57,2023-12-29,2024-01-02,Colorado,488.5,0,81.0,9.0,5,168.2,452
Tesla Model Y,Long Range,Ultra Red,Electric,Automatic,52533.98,2024-06-15,2024-07-29,Oregon,275.4,0,79.4,7.2,7,151.6,665
Tesla Model 3,Performance,Stealth Grey,Electric,Automatic,50409.6,2024-05-13,2024-06-21,Massachusetts,284.6,0,92.4,7.1,5,155.3,440
Tesla Model S,Plaid,Stealth Grey,Electric,Automatic,115758.67,2023-07-23,2023-08-19,Connecticut,393.2,0,65.9,7.0,5,168.6,533
Tesla Model S,Standard Range,Stealth Grey,Electric,Automatic,86356.19,2024-02-14,2024-04-01,Virginia,377.6,0,88.9,4.9,5,147.8,546
Tesla Model X,Long Range,Midnight Silver Metallic,Electric,Automatic,114051.44,2023-07-17,2023-10-03,Illinois,317.6,0,64.9,7.7,7,145.1,887
Tesla Model X,Standard Range,Deep Blue Metallic,Electric,Automatic,112628.05,2024-02-17,2024-05-17,Texas,307.0,0,86.6,5.4,7,145.6,581
Tesla Roadster,Plaid,Ultra Red,Electric,Automatic,246895.9,2023-10-12,2024-01-08,Oregon,543.4,0,83.8,7.1,5,148.2,632
Tesla Model X,Long Range,Pearl White,Electric,Automatic,106961.58,2023-04-08,2023-06-02,Massachusetts,310.3,0,61.9,3.2,7,146.8,887
Tesla Model Y,Performance,Stealth Grey,Electric,Automatic,63273.52,2023-07-01,2023-07-19,Virginia,285.6,0,74.9,3.1,7,151.9,665
Tesla Cybertruck,Plaid,Solid Black,Electric,Automatic,70777.18,2023-06-24,2023-08-10,Florida,397.8,0,92.3,4.1,5,140.7,465
Tesla Roadster,Performance,Pearl White,Electric,Automatic,233044.15,2023-08-04,2023-08-05,Florida,499.9,0,71.9,5.7,5,150.0,468
Tesla Cybertruck,Standard Range,Deep Blue Metallic,Electric,Automatic,61712.01,2023-10-16,2023-11-06,California,465.3,0,83.2,8.8,5,152.6,525
Tesla Roadster,Standard Range,Ultra Red,Electric,Automatic,222962.42,2024-07-27,2024-08-04,Texas,582.0,0,65.6,5.1,5,149.3,642
Tesla Model 3,Plaid,Pearl White,Electric,Automatic,41051.61,2023-08-21,2023-08-23,New York,317.6,0,75.4,8.8,5,156.3,426
Tesla Cybertruck,Long Range,Solid Black,Electric,Automatic,52429.47,2024-07-23,2024-10-11,Washington,301.7,0,76.1,6.9,5,166.9,623
Tesla Cybertruck,Performance,Pearl White,Electric,Automatic,56740.05,2023-11-01,2024-01-01,California,251.4,0,68.6,11.5,5,140.3,489
Tesla Model 3,Long Range,Pearl White,Electric,Automatic,50554.57,2023-10-27,2023-11-01,Oregon,314.7,0,91.7,1.9,5,147.7,533
Tesla Cybertruck,Standard Range,Red Multi-Coat,Electric,Automatic,65151.19,2024-11-28,2025-02-05,New York,369.3,0,68.6,8.2,5,150.1,572
Tesla Model X,Performance,Deep Blue Metallic,Electric,Automatic,139140.93,2024-04-10,2024-05-21,Maryland,347.4,0,78.8,5.1,7,151.8,673
Tesla Model Y,Long Range,Stealth Grey,Electric,Automatic,62598.74,2024-06-18,2024-06-21,Washington,312.9,0,60.3,9.9,7,168.6,869
Tesla Model 3,Long Range,Stealth Grey,Electric,Automatic,46211.67,2023-09-16,2023-10-07,Colorado,325.7,0,86.7,10.7,5,148.3,638
Tesla Model X,Performance,Solid Black,Electric,Automatic,130606.75,2025-01-27,2025-02-11,Florida,337.3,0,97.3,3.0,7,141.0,628
Tesla Model X,Standard Range,Deep Blue Metallic,Electric,Automatic,84523.67,2023-07-16,2023-07-30,New Jersey,328.3,0,78.3,4.1,7,151.4,738
Tesla Model Y,Performance,Midnight Silver Metallic,Electric,Automatic,52103.01,2023-05-07,2023-06-28,Washington,328.3,0,71.9,4.7,7,152.7,758
Tesla Model 3,Performance,Midnight Silver Metallic,Electric,Automatic,50780.6,2023-11-08,2023-12-07,New Jersey,288.4,0,61.6,9.6,5,160.8,620
Tesla Model 3,Plaid,Solid Black,Electric,Automatic,51628.92,2023-09-24,2023-11-26,New York,328.9,0,94.6,0.5,5,145.9,620
Tesla Cybertruck,Plaid,Midnight Silver Metallic,Electric,Automatic,60950.62,2025-02-09,2025-02-15,New Jersey,273.0,0,89.6,2.4,5,154.5,480
Tesla Roadster,Standard Range,Midnight Silver Metallic,Electric,Automatic,209108.31,2024-10-28,2024-11-02,New York,554.5,0,76.2,8.6,5,160.4,464
Tesla Model 3,Standard Range,Pearl White,Electric,Automatic,52260.08,2024-08-03,2024-10-14,Virginia,284.5,0,65.3,7.3,5,141.3,551
Tesla Roadster,Performance,Red Multi-Coat,Electric,Automatic,235107.35,2024-09-30,2024-11-04,Arizona,609.3,0,99.4,2.9,5,146.7,545
Tesla Model X,Performance,Ultra Red,Electric,Automatic,81273.95,2023-05-18,2023-08-16,Maryland,339.3,0,74.6,10.2,7,146.9,469
Tesla Model X,Performance,Ultra Red,Electric,Automatic,115387.95,2024-08-08,2024-09-29,Illinois,323.3,0,84.6,2.3,7,152.9,490
Tesla Cybertruck,Plaid,Stealth Grey,Electric,Automatic,65624.04,2024-07-12,2024-08-21,Massachusetts,484.7,0,68.9,8.1,5,150.8,494
Tesla Model S,Long Range,Solid Black,Electric,Automatic,112796.01,2024-10-04,2024-12-12,New Jersey,384.5,0,60.6,1.8,5,157.3,507
Tesla Model S,Plaid,Deep Blue Metallic,Electric,Automatic,98668.75,2024-03-12,2024-06-10,Colorado,387.8,0,61.0,5.5,5,145.7,590
Tesla Roadster,Standard Range,Deep Blue Metallic,Electric,Automatic,245596.2,2023-06-03,2023-08-04,New Jersey,581.4,0,66.2,2.8,5,148.9,450
Tesla Model X,Performance,Pearl White,Electric,Automatic,103032.78,2024-01-18,2024-02-16,Washington,311.7,0,66.4,5.7,7,155.7,510
Tesla Model X,Plaid,Deep Blue Metallic,Electric,Automatic,119443.3,2023-04-04,2023-06-10,Washington,311.2,0,77.8,10.0,7,141.0,648
Tesla Model S,Standard Range,Deep Blue Metallic,Electric,Automatic,108661.07,2023-05-17,2023-08-03,Texas,324.9,0,69.5,2.0,5,141.7,620
Tesla Model S,Plaid,Red Multi-Coat,Electric,Automatic,88789.09,2024-07-12,2024-07-27,Colorado,372.0,0,92.2,7.3,5,140.8,596
Tesla Model 3,Performance,Solid Black,Electric,Automatic,50920.58,2023-11-03,2024-01-18,Florida,326.2,0,98.8,3.4,5,141.3,442
Tesla Model X,Performance,Pearl White,Electric,Automatic,87980.86,2024-07-22,2024-10-05,Maryland,335.1,0,74.9,6.2,7,141.6,581
Tesla Model Y,Long Range,Deep Blue Metallic,Electric,Automatic,61807.17,2024-04-03,2024-04-09,Massachusetts,277.2,0,78.9,1.0,7,155.8,490
Tesla Model X,Standard Range,Solid Black,Electric,Automatic,118700.83,2025-03-22,2025-04-24,Virginia,329.3,0,89.7,8.9,7,142.3,626
Tesla Model S,Standard Range,Red Multi-Coat,Electric,Automatic,97163.35,2024-06-03,2024-06-08,Maryland,345.3,0,71.5,5.9,5,168.3,646
Tesla Model S,Performance,Pearl White,Electric,Automatic,117410.4,2024-02-26,2024-04-29,Washington,338.6,0,74.6,7.7,5,158.7,551
Tesla Model 3,Plaid,Midnight Silver Metallic,Electric,Automatic,52077.2,2023-08-14,2023-08-27,Virginia,330.8,0,79.7,2.0,5,150.7,482
Tesla Roadster,Long Range,Pearl White,Electric,Automatic,249054.58,2023-04-11,2023-06-03,New Jersey,415.5,0,64.4,7.6,5,144.5,480
Tesla Model 3,Plaid,Ultra Red,Electric,Automatic,41623.88,2023-06-18,2023-08-02,Washington,322.1,0,81.6,10.7,5,155.4,480
Tesla Cybertruck,Plaid,Midnight Silver Metallic,Electric,Automatic,51088.86,2024-11-15,2025-01-26,Colorado,443.9,0,99.1,11.5,5,153.6,543
Tesla Cybertruck,Performance,Deep Blue Metallic,Electric,Automatic,68885.44,2024-12-05,2025-01-14,New Jersey,443.1,0,78.9,2.7,5,163.9,447
Tesla Model S,Plaid,Deep Blue Metallic,Electric,Automatic,76236.83,2025-03-09,2025-04-13,New York,335.4,0,75.1,3.0,5,140.0,570
Tesla Model X,Standard Range,Stealth Grey,Electric,Automatic,119077.67,2025-01-14,2025-03-23,Colorado,342.4,0,99.0,5.8,7,154.0,588
Tesla Cybertruck,Standard Range,Solid Black,Electric,Automatic,57433.63,2023-06-21,2023-07-27,Maryland,393.4,0,83.7,1.1,5,145.2,552
Tesla Cybertruck,Performance,Solid Black,Electric,Automatic,58928.25,2024-11-18,2024-12-21,California,250.2,0,93.8,11.8,5,158.6,507
Tesla Cybertruck,Performance,Midnight Silver Metallic,Electric,Automatic,71852.62,2023-07-26,2023-10-13,Washington,371.6,0,80.1,5.0,5,162.7,492
Tesla Model Y,Performance,Solid Black,Electric,Automatic,61152.47,2025-02-18,2025-02-23,New York,264.7,0,90.5,2.2,7,153.8,777
Tesla Roadster,Long Range,Deep Blue Metallic,Electric,Automatic,241594.5,2024-08-17,2024-08-20,Illinois,486.0,0,92.2,11.4,5,152.1,574
Tesla Roadster,Performance,Ultra Red,Electric,Automatic,207702.61,2023-08-15,2023-11-11,Connecticut,497.0,0,97.7,7.6,5,163.9,547
Tesla Cybertruck,Standard Range,Red Multi-Coat,Electric,Automatic,57638.9,2024-11-01,2024-11-11,Oregon,388.9,0,74.8,8.7,5,156.8,619
Tesla Model 3,Performance,Stealth Grey,Electric,Automatic,50071.88,2024-09-28,2024-12-06,Colorado,297.8,0,72.5,10.7,5,158.3,593
Tesla Model S,Long Range,Stealth Grey,Electric,Automatic,90500.96,2023-05-30,2023-08-08,Nevada,375.4,0,99.8,9.2,5,156.0,464
Tesla Model 3,Plaid,Pearl White,Electric,Automatic,52431.83,2023-11-10,2023-11-22,Texas,315.7,0,77.9,1.6,5,146.1,499
Tesla Roadster,Long Range,Ultra Red,Electric,Automatic,228978.1,2025-01-10,2025-02-02,Colorado,422.0,0,64.1,5.1,5,169.5,478
Tesla Model 3,Plaid,Deep Blue Metallic,Electric,Automatic,40533.61,2024-09-03,2024-11-27,Maryland,276.3,0,80.1,8.1,5,160.8,614
Tesla Model Y,Standard Range,Solid Black,Electric,Automatic,64533.6,2023-08-03,2023-08-27,Colorado,291.9,0,89.9,3.0,7,168.4,425
Tesla Model X,Plaid,Pearl White,Electric,Automatic,100268.38,2023-12-10,2023-12-31,Maryland,320.5,0,85.0,2.6,7,149.9,628
Tesla Roadster,Long Range,Red Multi-Coat,Electric,Automatic,246719.77,2024-05-23,2024-06-20,Texas,586.9,0,69.7,5.5,5,147.2,491
Tesla Cybertruck,Plaid,Deep Blue Metallic,Electric,Automatic,78359.16,2024-11-03,2025-01-27,Virginia,289.7,0,71.3,1.5,5,154.1,590
Tesla Model S,Plaid,Pearl White,Electric,Automatic,81031.72,2025-01-27,2025-04-05,Massachusetts,338.8,0,84.2,10.1,5,167.5,432
Tesla Cybertruck,Performance,Solid Black,Electric,Automatic,62495.07,2023-04-17,2023-04-26,Colorado,277.7,0,89.6,9.2,5,169.3,484
Tesla Model X,Plaid,Solid Black,Electric,Automatic,131644.15,2023-05-02,2023-05-24,Connecticut,317.3,0,69.2,0.9,7,144.5,559
Tesla Model 3,Standard Range,Red Multi-Coat,Electric,Automatic,44437.78,2024-12-08,2025-01-26,Nevada,319.4,0,74.0,11.2,5,162.2,453
Tesla Roadster,Standard Range,Ultra Red,Electric,Automatic,223255.58,2023-07-02,2023-09-09,Arizona,595.9,0,81.9,9.7,5,165.4,591
Tesla Model 3,Long Range,Red Multi-Coat,Electric,Automatic,53749.98,2023-06-09,2023-07-05,Illinois,309.4,0,71.5,6.9,5,148.7,601
Tesla Model X,Plaid,Ultra Red,Electric,Automatic,121766.04,2024-11-26,2025-01-08,Washington,331.6,0,76.6,6.7,7,159.4,689
Tesla Model S,Long Range,Stealth Grey,Electric,Automatic,91921.38,2024-07-05,2024-08-26,Florida,355.7,0,89.3,8.9,5,145.4,542
Tesla Roadster,Performance,Solid Black,Electric,Automatic,205728.33,2024-05-21,2024-06-13,Florida,563.3,0,86.3,2.3,5,167.7,509
Tesla Model 3,Long Range,Red Multi-Coat,Electric,Automatic,45857.88,2023-09-30,2023-11-02,Arizona,330.3,0,79.0,5.9,5,158.0,638
Tesla Roadster,Performance,Pearl White,Electric,Automatic,211060.96,2024-06-14,2024-07-21,Texas,418.3,0,67.7,6.0,5,166.3,426
Tesla Model 3,Plaid,Red Multi-Coat,Electric,Automatic,44569.82,2024-05-19,2024-06-08,Arizona,317.5,0,99.4,8.3,5,156.0,501
Tesla Model Y,Plaid,Pearl White,Electric,Automatic,64775.39,2024-06-03,2024-07-22,Arizona,315.8,0,60.3,4.6,7,158.0,855
Tesla Model S,Plaid,Solid Black,Electric,Automatic,111730.96,2024-08-29,2024-11-18,Virginia,365.8,0,90.1,3.7,5,150.6,498
Tesla Model Y,Long Range,Red Multi-Coat,Electric,Automatic,63584.83,2023-04-12,2023-06-11,Colorado,298.3,0,65.0,2.5,7,144.7,600
Tesla Roadster,Long Range,Deep Blue Metallic,Electric,Automatic,227165.23,2025-03-24,2025-06-06,Massachusetts,536.7,0,66.7,11.9,5,145.1,650
Tesla Cybertruck,Long Range,Midnight Silver Metallic,Electric,Automatic,57578.8,2023-09-05,2023-10-09,New Jersey,496.0,0,95.1,4.5,5,141.5,594
Tesla Model X,Plaid,Solid Black,Electric,Automatic,83246.11,2024-03-21,2024-06-17,Oregon,321.7,0,79.7,8.2,7,144.4,440
Tesla Roadster,Long Range,Red Multi-Coat,Electric,Automatic,208061.42,2024-11-20,2024-12-25,Colorado,591.4,0,97.2,3.5,5,154.6,505
Tesla Model X,Performance,Pearl White,Electric,Automatic,85786.3,2024-01-18,2024-01-22,Maryland,320.6,0,74.9,10.2,7,157.8,811
Tesla Model S,Plaid,Stealth Grey,Electric,Automatic,105443.61,2025-01-24,2025-03-23,Florida,328.7,0,68.8,9.8,5,156.7,586
Tesla Model S,Long Range,Ultra Red,Electric,Automatic,94173.12,2025-03-16,2025-04-18,New Jersey,390.2,0,75.0,4.5,5,159.2,520
Tesla Model 3,Plaid,Red Multi-Coat,Electric,Automatic,47605.15,2023-10-08,2023-10-25,Arizona,326.8,0,68.1,8.8,5,146.2,624
Tesla Roadster,Long Range,Stealth Grey,Electric,Automatic,222823.16,2024-05-06,2024-07-10,Connecticut,409.7,0,92.7,1.2,5,151.0,515
Tesla Cybertruck,Long Range,Stealth Grey,Electric,Automatic,78732.0,2024-06-08,2024-08-21,Massachusetts,458.1,0,89.4,4.2,5,146.8,561
Tesla Model 3,Plaid,Deep Blue Metallic,Electric,Automatic,46421.66,2024-04-28,2024-07-16,New York,281.6,0,64.3,8.5,5,147.0,429
Tesla Cybertruck,Standard Range,Stealth Grey,Electric,Automatic,78961.86,2024-02-03,2024-02-04,Connecticut,382.5,0,81.0,0.7,5,164.2,445
Tesla Model Y,Performance,Solid Black,Electric,Automatic,57720.32,2023-11-02,2023-12-11,Oregon,289.3,0,65.6,11.9,7,158.4,443
Tesla Model X,Performance,Red Multi-Coat,Electric,Automatic,136525.28,2023-08-15,2023-10-15,Nevada,312.9,0,97.4,8.6,7,166.3,491
Tesla Cybertruck,Plaid,Pearl White,Electric,Automatic,50579.44,2024-03-16,2024-04-04,Nevada,311.5,0,95.6,8.4,5,160.3,566
Tesla Roadster,Standard Range,Red Multi-Coat,Electric,Automatic,207584.84,2024-05-05,2024-08-03,Florida,420.6,0,90.4,11.7,5,142.1,595
Tesla Model Y,Long Range,Red Multi-Coat,Electric,Automatic,57264.9,2024-11-19,2025-01-20,New York,281.2,0,82.0,3.7,7,151.8,429
Tesla Roadster,Long Range,Deep Blue Metallic,Electric,Automatic,220856.53,2025-02-01,2025-04-11,New York,404.8,0,78.6,7.7,5,153.9,572
Tesla Model 3,Standard Range,Midnight Silver Metallic,Electric,Automatic,44883.1,2025-03-01,2025-03-09,Oregon,309.5,0,94.4,1.2,5,148.0,456
Tesla Model Y,Long Range,Deep Blue Metallic,Electric,Automatic,46040.54,2023-07-12,2023-08-19,Maryland,293.7,0,65.5,7.6,7,140.2,709
Tesla Model Y,Long Range,Deep Blue Metallic,Electric,Automatic,61421.58,2025-03-01,2025-04-29,Virginia,301.8,0,88.2,8.5,7,158.2,853
Tesla Model Y,Standard Range,Ultra Red,Electric,Automatic,51305.69,2024-04-06,2024-05-22,Illinois,287.6,0,67.1,10.6,7,159.9,786
Tesla Cybertruck,Performance,Solid Black,Electric,Automatic,62767.89,2024-06-19,2024-08-25,Texas,275.1,0,62.5,8.4,5,167.9,544
Tesla Model X,Standard Range,Red Multi-Coat,Electric,Automatic,118235.71,2023-10-05,2023-11-15,Connecticut,307.3,0,92.0,5.9,7,154.9,818
Tesla Model Y,Plaid,Ultra Red,Electric,Automatic,69824.48,2024-06-30,2024-07-29,New Jersey,271.9,0,73.8,3.4,7,167.3,764
Tesla Cybertruck,Standard Range,Deep Blue Metallic,Electric,Automatic,59600.95,2023-05-21,2023-06-07,Oregon,360.5,0,61.3,1.6,5,149.2,438
Tesla Model X,Long Range,Midnight Silver Metallic,Electric,Automatic,104545.07,2023-07-22,2023-09-11,Virginia,309.6,0,80.8,3.0,7,147.6,850
Tesla Roadster,Performance,Ultra Red,Electric,Automatic,211235.63,2024-05-12,2024-06-25,Arizona,513.1,0,92.6,4.3,5,162.9,558
Tesla Roadster,Plaid,Deep Blue Metallic,Electric,Automatic,241835.34,2023-12-03,2024-02-25,Illinois,437.8,0,95.8,3.3,5,142.7,425
Tesla Model Y,Plaid,Pearl White,Electric,Automatic,52829.59,2024-04-18,2024-06-22,Washington,304.1,0,65.4,5.5,7,149.1,622
Tesla Cybertruck,Standard Range,Stealth Grey,Electric,Automatic,52488.59,2024-12-14,2024-12-29,Illinois,397.8,0,64.2,8.8,5,158.7,580
Tesla Model 3,Plaid,Midnight Silver Metallic,Electric,Automatic,41863.69,2024-02-05,2024-04-19,Florida,313.5,0,76.6,10.5,5,156.1,619
Tesla Roadster,Standard Range,Red Multi-Coat,Electric,Automatic,229696.1,2023-05-28,2023-06-03,Massachusetts,401.1,0,96.5,11.0,5,160.1,562
Tesla Model X,Standard Range,Ultra Red,Electric,Automatic,88121.02,2024-04-05,2024-04-19,New York,341.6,0,75.5,7.9,7,140.7,501
Tesla Cybertruck,Plaid,Solid Black,Electric,Automatic,78494.28,2023-11-19,2024-01-13,Nevada,392.7,0,79.5,2.4,5,147.3,604
Tesla Model 3,Long Range,Deep Blue Metallic,Electric,Automatic,40018.36,2024-10-12,2024-10-31,Virginia,306.4,0,76.9,5.5,5,150.5,530
Tesla Roadster,Standard Range,Midnight Silver Metallic,Electric,Automatic,249782.49,2024-02-14,2024-03-21,New Jersey,410.3,0,79.5,1.5,5,161.7,599
Tesla Model S,Long Range,Deep Blue Metallic,Electric,Automatic,87911.72,2024-10-30,2024-12-09,Texas,350.3,0,69.8,3.6,5,155.6,632
Tesla Model 3,Long Range,Red Multi-Coat,Electric,Automatic,46082.82,2024-06-07,2024-06-28,New York,294.3,0,70.6,2.5,5,168.1,498
Tesla Model Y,Standard Range,Ultra Red,Electric,Automatic,51590.51,2024-08-05,2024-09-06,New Jersey,319.7,0,88.4,9.1,7,169.0,511
Tesla Roadster,Performance,Pearl White,Electric,Automatic,219172.41,2024-10-19,2025-01-05,New York,588.0,0,93.4,1.2,5,149.7,580
Tesla Model 3,Performance,Midnight Silver Metallic,Electric,Automatic,47477.21,2024-06-14,2024-08-11,Maryland,318.4,0,91.8,1.7,5,165.0,483
Tesla Model S,Plaid,Red Multi-Coat,Electric,Automatic,100724.64,2024-03-05,2024-03-24,Maryland,320.3,0,98.3,2.8,5,152.7,515
Tesla Roadster,Long Range,Stealth Grey,Electric,Automatic,246398.21,2023-05-08,2023-06-11,Massachusetts,449.4,0,86.4,3.0,5,155.1,472
Tesla Cybertruck,Long Range,Pearl White,Electric,Automatic,68888.11,2024-07-19,2024-10-03,Nevada,436.9,0,83.9,6.9,5,149.0,520
Tesla Cybertruck,Performance,Ultra Red,Electric,Automatic,51116.77,2024-04-29,2024-07-23,Florida,338.8,0,68.9,2.7,5,163.4,521
Tesla Model 3,Long Range,Red Multi-Coat,Electric,Automatic,42154.6,2024-08-27,2024-10-12,Massachusetts,285.4,0,83.4,8.2,5,148.9,439
Tesla Cybertruck,Performance,Pearl White,Electric,Automatic,62695.04,2024-04-28,2024-07-11,Colorado,426.8,0,92.2,6.1,5,165.7,605
Tesla Cybertruck,Long Range,Solid Black,Electric,Automatic,50511.8,2024-02-01,2024-04-09,Virginia,309.1,0,94.4,6.9,5,151.7,518
Tesla Cybertruck,Plaid,Pearl White,Electric,Automatic,64426.1,2023-08-05,2023-09-08,New Jersey,283.3,0,92.8,10.9,5,167.3,647
Tesla Roadster,Standard Range,Ultra Red,Electric,Automatic,220359.36,2024-12-13,2025-03-01,Connecticut,545.2,0,85.0,3.7,5,157.1,567
Tesla Model 3,Long Range,Red Multi-Coat,Electric,Automatic,46723.26,2024-02-10,2024-04-16,New York,323.1,0,95.8,9.7,5,142.3,602
Tesla Model 3,Performance,Pearl White,Electric,Automatic,50544.84,2024-05-13,2024-06-16,Illinois,297.1,0,65.6,3.5,5,142.0,504
Tesla Model S,Performance,Midnight Silver Metallic,Electric,Automatic,83205.83,2024-05-25,2024-06-02,Colorado,326.9,0,98.3,1.6,5,167.8,544
